Time_lapsed (hr:mm:ss) --> 00:00:02, Epoch: 1, Training loss: 7.1250267
Time_lapsed (hr:mm:ss) --> 00:00:03, Epoch: 1, Training loss: 7.2122784
Time_lapsed (hr:mm:ss) --> 00:00:05, Epoch: 1, Training loss: 5.6804304
Time_lapsed (hr:mm:ss) --> 00:00:07, Epoch: 1, Training loss: 6.1368194
Time_lapsed (hr:mm:ss) --> 00:00:09, Epoch: 1, Training loss: 7.8187914
Time_lapsed (hr:mm:ss) --> 00:00:11, Epoch: 1, Training loss: 6.922145
Time_lapsed (hr:mm:ss) --> 00:00:13, Epoch: 1, Training loss: 5.677598
Time_lapsed (hr:mm:ss) --> 00:00:14, Epoch: 1, Training loss: 6.57544
Time_lapsed (hr:mm:ss) --> 00:00:16, Epoch: 1, Training loss: 7.1897936
Time_lapsed (hr:mm:ss) --> 00:00:20, Epoch: 2, Training loss: 5.6390824
Time_lapsed (hr:mm:ss) --> 00:00:22, Epoch: 2, Training loss: 7.5379357
Time_lapsed (hr:mm:ss) --> 00:00:24, Epoch: 2, Training loss: 5.7608576
Time_lapsed (hr:mm:ss) --> 00:00:25, Epoch: 2, Training loss: 7.586787
Time_lapsed (hr:mm:ss) --> 00:00:27, Epoch: 2, Training loss: 5.960319
Time_lapsed (hr:mm:ss) --> 00:00:29, Epoch: 2, Training loss: 6.3893003
Time_lapsed (hr:mm:ss) --> 00:00:31, Epoch: 2, Training loss: 5.9208984
Time_lapsed (hr:mm:ss) --> 00:00:33, Epoch: 2, Training loss: 7.4504085
Time_lapsed (hr:mm:ss) --> 00:00:35, Epoch: 2, Training loss: 5.8080487
Time_lapsed (hr:mm:ss) --> 00:00:38, Epoch: 3, Training loss: 6.686942
Time_lapsed (hr:mm:ss) --> 00:00:40, Epoch: 3, Training loss: 7.0632677
Time_lapsed (hr:mm:ss) --> 00:00:42, Epoch: 3, Training loss: 5.6349397
Time_lapsed (hr:mm:ss) --> 00:00:44, Epoch: 3, Training loss: 6.8877892
